Spectrum Name:						
Description:						
Student ID:						
Detector Used:						
Comments:						
Acquisition Mode:	PHA Direct In					
High Voltage:	0					
Conversion Gain:	1024					
Coarse Gain:	4					
Fine Gain:	1.45					
Upper Discriminator:	1					
Lower Discriminator:	0					
Calibration Coefficients:	0.098675676	0.001432432				
Calibration Channels:	750	861				
Calibration Energies:	1.173	1.332				
Elapsed Real Time:	386.24					
Elapsed Live Time:	300					
Start Time:	"noviembre 14, 2024, 05:01:11"					
End Time:	"noviembre 14, 2024, 05:07:37"					
ROIs:						
ROI:	Low	High	Gross	Net	FWHM	Centroid
						
1	431	663	31021	-20939	3	0
2	196	244	2228493	319941	27	0
3	34	58	1260246	188138	16	0
						
Channel Data:						
Channel	Energy	Counts				
908	1.399324324	3				
909	1.400756757	2				
910	1.402189189	0				
911	1.403621622	2				
912	1.405054054	3				
913	1.406486486	2				
914	1.407918919	2				
915	1.409351351	5				
916	1.410783784	1				
917	1.412216216	2				
918	1.413648649	3				
919	1.415081081	0				
920	1.416513514	2				
921	1.417945946	1				
922	1.419378378	5				
923	1.420810811	4				
924	1.422243243	1				
925	1.423675676	1				
926	1.425108108	1				
927	1.426540541	5				
928	1.427972973	3				
929	1.429405405	1				
930	1.430837838	2				
931	1.43227027	2				
932	1.433702703	2				
933	1.435135135	2				
934	1.436567568	1				
935	1.438	0				
936	1.439432432	2				
937	1.440864865	2				
938	1.442297297	0				
939	1.44372973	4				
940	1.445162162	1				
941	1.446594595	1				
942	1.448027027	1				
943	1.449459459	1				
944	1.450891892	4				
945	1.452324324	4				
946	1.453756757	1				
947	1.455189189	0				
948	1.456621622	1				
949	1.458054054	2				
950	1.459486486	7				
951	1.460918919	3				
952	1.462351351	3				
953	1.463783784	0				
954	1.465216216	0				
955	1.466648649	2				
956	1.468081081	9				
957	1.469513514	3				
958	1.470945946	2				
959	1.472378378	3				
960	1.473810811	2				
961	1.475243243	1				
962	1.476675676	1				
963	1.478108108	5				
964	1.479540541	1				
965	1.480972973	1				
966	1.482405405	3				
967	1.483837838	2				
968	1.48527027	6				
969	1.486702703	1				
970	1.488135135	4				
971	1.489567568	4				
972	1.491	0				
973	1.492432432	1				
974	1.493864865	2				
975	1.495297297	2				
976	1.49672973	2				
977	1.498162162	5				
978	1.499594595	1				
979	1.501027027	4				
980	1.502459459	4				
981	1.503891892	5				
982	1.505324324	4				
983	1.506756757	1				
984	1.508189189	3				
985	1.509621622	0				
986	1.511054054	0				
987	1.512486486	1				
988	1.513918919	0				
989	1.515351351	0				
990	1.516783784	3				
991	1.518216216	1				
992	1.519648649	2				
993	1.521081081	1				
994	1.522513514	0				
995	1.523945946	3				
996	1.525378378	2				
997	1.526810811	2				
998	1.528243243	2				
999	1.529675676	1				
1000	1.531108108	2				
1001	1.532540541	1				
1002	1.533972973	0				
1003	1.535405405	2				
1004	1.536837838	1				
1005	1.53827027	1				
1006	1.539702703	3				
